ID,CaseTitle,InitiationYear,ResolutionYear,RespondentState,ClaimantCountry,ClaimantName,PAULSSON,ArbitrationRules,LegalInstrument,OutcomeStatus,amountSought,amountSought_original,amountAwarded,amountAwarded_original,Arbitrator1,Arbitrator1President,Arbitrator2,Arbitrator2Claimant,Arbitrator3,Arbitrator3Respondent,description,italaw
UNC192,Helnan International Hotels A/S v. Arab Egypt (ICSID Case No. ARB/05/19),2005,2008,Egypt,Denmark,Helnan International Hotels A/S,Hotel lease and development agreements,ICSID,Denmark-Egypt BIT,In favour of the State,,,Not applicable,,Yves DERAINS,yes,Michael J.A. LEE,yes,Rudolf DOLZER,yes,,
UNC395,Convial Callao S.A. and CCI - Compañía de Concesiones de Infraestructura S.A. v. Peru (ICSID Case No. ARB/10/2),2010,2013,Peru,Argentina,Convial Callao S.A. and CCI - Compañía de Concesiones de Infraestructura S.A.,Highway construction project,ICSID,Argentina-Peru BIT,In favour of the State,119423267.4,110000000,Not applicable,,Yves DERAINS,yes,Eduardo ZULETA,yes,Brigitte STERN,yes,,
UNC423,Detroit International Bridge Company v. Government of Canada (PCA Case No. 2012-25),2011,,Canada,USA,Detroit International Bridge Company,bridge construction,UNCITRAL,NAFTA,Pending,1052445330,1000000000,Not applicable,,Yves DERAINS,yes,Michael Chertoff,yes,Vaughan LOWE,yes,"A dispute over the Ambassador Bridge, a toll crossing between Detroit and Windsor, Ontario, that is ultimately owned by a private American company. Allegations center on Canada’s decision not to upgrade the access road to the Ambassador Bridge, and Canada’s construction of a new highway designed to divert traffic to a new planned crossing that it will partly own. The claimant argues, over Canada’s objection, that these actions violated investment protections contained in the North American Free Trade Agreement",http://www.italaw.com/cases/354
UNC507,Venoklim Holding B.V. v. Venezuela   (ICSID Case No. ARB/12/22),2012,2015,Venezuela,Netherlands,Venoklim Holding B.V.,Lubricant production facilities,ICSID,Netherlands-Venezuela BIT,In favour of the State,103110708.5,100000000,Not applicable,,Yves DERAINS,yes,Enrique GÓMEZ-PINZÓN,yes,Rodrigo OREAMUNO,yes,,
UNC522,Karkey Karadeniz Elektrik Uretim A.S. v. Islamic Pakistan (ICSID Case No. ARB/13/1),2013,,Pakistan,Turkey,Karkey Karadeniz Elektrik Uretim A.S.,Power generation equipment,ICSID,Pakistan-Turkey BIT,Pending,,,Not applicable,,Yves DERAINS,yes,Horacio A. GRIGERA NAÓN,yes,David A.O. EDWARD,yes,,
UNC566,Isolux Infrastructure Netherlands B.V. v. Kingdom of Spain,2013,,Spain,Netherlands,Isolux Infrastructure Netherlands B.V.,solar energy,SCC,Energy Charter Treaty,Pending,unknown,,Not applicable,,Yves DERAINS,yes,Guido S. Tawil,,Claus VON WOBESER,,Claim arising in response to reform of renewable energy policy,
UNC607,Anglo American PLC v. Venezuela (ICSID Case No. ARB(AF)/14/1),2014,,Venezuela,United Kingdom,Anglo American PLC,Mining Concession,ICSID AF,United Kingdom-Venezuela BIT,Pending,,,Not applicable,,Yves DERAINS,yes,Guido Santiago TAWIL,yes,Raúl E. VINUESA,yes,,
UNC582,Michael Dagher v. the Sudan (ICSID Case No. ARB/14/2),2014,,Sudan,Jordan/Lebanon,Michael Dagher,Wireless internet service enterprise,ICSID,Jordan-Sudan BIT; Lebanon-Sudan BIT,Pending,,,Not applicable,,Yas BANIFATEMI,yes,William W. PARK,yes,Makhdoom Ali KHAN,yes,,
UNC052,CME Czech Republic B.V. v. The Czech Republic,2000,2003,Czech Republic,Netherlands,CME Czech Republic B.V.,broadcasting enterprise,UNCITRAL,Czech Republic-Netherlands BIT,In favour of the investor,680787846.7,495200000,508320939.3,395000000,Wolfgang Kühn,yes,Stephen M. SCHWEBEL,yes,Jaroslav Hándl; Ian Brownlie,yes,"Lauder invested in private television broadcaster with CME and sought damages for the alleged interference of the Czech media council into the business arrangements which contributed to losses experienced by Lauder. His case against the Czech Republic through the Czech-US BIT had not been successful, so now he filed a claim on the basis of a Dutch BIT.",http://www.italaw.com/cases/281
UNC414,"Khan Resources Inc., Khan Resources B.V. and Cauc Holding Company Ltd. v. the Government of Mongolia and Monatom Co., Ltd.",2011,2015,Mongolia,Canada/Netherlands/British Virgin Islands,"Khan Resources Inc., Khan Resources B.V. and Cauc Holding Company Ltd.",,UNCITRAL,Energy Charter Treaty,In favour of the investor,376775428,358000000,91000000,91000000,"Williams, D. A. R.",yes,L. Yves FORTIER,yes,Bernard HANOTIAU,yes,,http://www.italaw.com/cases/604
