ID,CaseTitle,InitiationYear,ResolutionYear,RespondentState,ClaimantCountry,ClaimantName,InvestmentType,ArbitrationRules,LegalInstrument,OutcomeStatus,amountSought,amountSought_cur,amountAwarded,amountAwarded_cur,Arbitrator1,Arbitrator1President,Arbitrator2,Arbitrator2Claimant,Arbitrator3,Arbitrator3Respondent,description,italaw
UNC073,France Telecom v. Lebanon,2002,2005,Lebanon,France,France Telecom,telecom,UNCITRAL,France-Lebanon BIT,In favour of the investor,DU,USD,266000000,USD,Marc Lalonde,YES,Bernard Audit,YES,Antoine Akl,YES,"France Telecom initiated an arbitration on 20 June 2002 pursuant to the terms of a bilateral investment treaty between France and Lebanon. France Telecom’s subsidiary had been offering GSM mobile service pursuant to a Build Operate and Transfer (BOT) contract since 1994. France Telecom alleged that: (i) its BOT contract was prematurely terminated; (ii) it was the victim of expropriation; and (iii) it had failed to receive fair and equitable treatment at the hands of the Lebanese state. The French firm claimed some US$771 million in damages, including compensation for the remainder of the BOT contract. The Lebanese Government filed a counter-claim for $840 million in damages against France Telecom. Initially, France Telecom pursued arbitration both at the International Chamber of Commerce, and under the UNCITRAL rules, but ultimately pursued the claim solely under the UNCITRAL rules. In a recent decision of 22 February 2005, the arbitration panel rendered a US$266 million award against Lebanon. Lebanon has filed an application to the Swiss Federal Supreme Court to set aside the award. (http://www.ictregulationtoolkit.org/en/toolkit/notes/PracticeNote/2563)",http://www.italaw.com/cases/452
UNC072,"AIG Capital Partners, Inc. and CJSC Tema Real Estate Company v. Kazakhstan (ICSID Case No. ARB/01/6)",2001,2003,Kazakhstan,USA,"AIG Capital Partners, Inc. and CJSC Tema Real Estate Company",Construction of residential housing complex,ICSID,Kazakhstan-United States BIT,In favour of the investor,unknownValue,unknownValue,9300000,USD,Fali S. NARIMAN,YES,Piero BERNARDINI,YES,Branko Vukmir,YES,unknownValue,unknownValue
UNC071,"Enron Creditors Recovery Corporation (formerly Enron Corporation) and Ponderosa Assets, L.P. v. Argentine Republic (ICSID Case No. ARB/01/3)",2001,2007,Argentina,USA,"Enron Creditors Recovery Corporation (formerly Enron Corporation) and Ponderosa Assets, L.P.",Natural gas transportation company,ICSID,Argentina-United States BIT,In favour of the investor,150000000,unknownValue,NA,DU,Francisco ORREGO VICUÑA,YES,Albert Jan VAN DEN BERG,YES,Pierre-Yves TSCHANZ,YES,"Another BIT dispute arising out of the Argentine currency crisis, based on claimants’ minority interest in a local natural gas transit company.",unknownValue
UNC070,SGS Société Générale de Surveillance S.A. v. Islamic Pakistan (ICSID Case No. ARB/01/13),2001,2004,Pakistan,Switzerland,SGS Société Générale de Surveillance S.A.,Service agreement,ICSID,Pakistan-Switzerland BIT,Settled,unknownValue,unknownValue,DU,DU,Florentino P. FELICIANO,YES,André J.E. FAURÈS,YES,J. Christopher THOMAS,YES,"The Swiss firm SGS contracted to provide port services for Pakistan. Under a novel theory, SGS tried to recover for contract breaches under investment treaties. In February 2004 the Pakistani tribunal asserted jurisdiction only over BIT claims. In a spring 2004 settlement the parties agreed to withdraw their claims against each other and to continue doing business together. As part of the settlement, SGS paid $2 million of Pakistan’s fees, and admitted to breaches of its internal controls; the Pakistani press reported that former SGS employees had paid bribes to obtain the contract.",unknownValue
UNC077,Siemens A.G. v. The Argentine Republic (ICSID Case No. ARB/02/8),2002,2007,Argentina,Germany,Siemens A.G.,Informatic services contract,ICSID,Argentina-Germany BIT,In favour of the investor,218000000,unknownValue,278000000,USD,Andrés RIGO SUREDA,YES,Charles N. BROWER,YES,Domingo BELLO JANEIRO,YES,"Corruption scandal could lead to claw-back of ICSID award. Argentina has asked an ICSID panel to revisit its February 2007 award in favour of Siemens, following revelations of widespread corruption in the German firm’s international business activities. ICSID arbitrators had earlier awarded Siemens approximately $218 million damages plus interest, after holding that Argentina wrongfully terminated Siemen’s contract to create information systems for Argentine elections, personal identification, and immigration.",unknownValue
UNC076,Occidental Exploration and Production Company v. Ecuador (LCIA Case No. UN3467) (I),2002,2004,Ecuador,USA,Occidental Exploration and Production Company,unknownValue,UNCITRAL,Ecuador-United States BIT,In favour of the investor,100000000,unknownValue,75000000,USD,Francisco Orrego Vicuña,Yes,Charles Brower,Yes,Patrick Barrera Sweeney,Yes,"Oxy secured an award for $75 million (plus interest) for breach of the USA–Ecuador bilateral investment treaty. After Ecuador sought unsuccessfully to challenge the award in the United Kingdom courts, the government eventually paid the amount owed.",http://www.italaw.com/cases/761
UNC075,"Champion Trading Company and Ameritrade International, Inc. v. Arab Egypt (ICSID Case No. ARB/02/9)",2002,2006,Egypt,USA,"Champion Trading Company and Ameritrade International, Inc.",Cotton processing and trading enterprise,ICSID,Egypt-United States BIT,In favour of the State,unknownValue,unknownValue,NA,DU,Robert BRINER,YES,L. Yves FORTIER,YES,Laurent AYNÈS,YES,Champion lost its shirt after investing in Egypt’s National Cotton Company. It complains in a BIT action that Egypt discriminated against privatized cotton manufacturers by paying off the bank debts of those that remain public.,unknownValue
UNC074,Aguas del Tunari S.A. v. Bolivia (ICSID Case No. ARB/02/3),2002,2006,Bolivia,Netherlands,Aguas del Tunari S.A.,Water and sewer services concession,ICSID,Bolivia-Netherlands BIT,Settled,unknownValue,unknownValue,DU,DU,David D. CARON,YES,Henri C. ÁLVAREZ,YES,José Luis ALBERRO-SEMERENA,YES,unknownValue,http://www.italaw.com/cases/57
UNC473,Yuri Bogdanov and Yulia Bogdanova v. Moldova (SCC Case No. V091/2012) (IV),2012,2013,Moldova,Russia,Yuri Bogdanov and Yulia Bogdanova,paint factory,SCC,Moldova-Russia BIT,In favour of the State,75000,USD,NA,NA,Bengt Sjövall,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,http://www.italaw.com/cases/2634
UNC079,Crompton (Chemtura) Corp. v. Government of Canada,2002,2010,Canada,USA,Crompton (Chemtura) Corp.,pesticide production,UNCITRAL,NAFTA,In favour of the State,100000000,unknownValue,NA,DU,Gabrielle Kaufmann-Kohler,unknownValue,James Crawford,unknownValue,Charles Brower,unknownValue,Chemtura turned to NAFTA arbitration to challenge Canada’s phase out of the insecticide Lindane. The company objects to a decision by Canada’s Pest Management Regulatory Agency to ban Lindane on health and environmental grounds. Chemtura says that the PMRA decision was not backed by a rigorous scientific risk assessment of Lindane. Canada has countered that the NAFTA should not be used to hold a state “responsible for the fact that (a company) can no longer profit from the sale of a toxic chemical that has been internationally banned based on demonstrated health and environmental concerns.”,http://www.italaw.com/cases/249
