ID,Full case title,Year,Respondent State,Home State of investor,Sector,Summary,Treaty,Rules,Administrating institution,amountSought,amountSought_cur,amountAwarded,amountAwarded_cur,Decisions,Publically available,Concurring opinion,Concurring opinion issued,Award,Award's Annulment,Arbitrator1,Arbitrator1President,Arbitrator2,Arbitrator2Claimant,Arbitrator3,Arbitrator3Respondent,italaw,CommentsNLinks
UNC242,Jan Oostergetel and Theodora Laurentius v. The Slovak Republic,2006,Slovakia,Netherlands,Manufacture of textiles,"Claims arising out of alleged actions and omissions by the Slovak authorities that resulted in BCT's bankruptcy, including actions taken by a Bratislava court and the local tax office.",Netherlands-Slovak Republic BIT,UNCITRAL,Ad hoc,63000000,USD,,USD,Decision on Jurisdiction dated 30 April 2010;Final Award dated 23 April 2012,Yes,No,Not applicable,Awarded in favor of state,None,"Kaufmann-Kohler, G. (replacement); Briner, R. (resigned)",Yes,"Wladimiroff, M.",Yes,"Trapl, V.",Yes,http://italaw.com/cases/1222,http://www.iisd.org/itn/2012/07/19/awards-and-decisions-8/;http://globalarbitrationreview.com/news/article/30519/slovakia-defeats-intra-eu-claim/;http://globalarbitrationreview.com/news/article/30576/slovak-treaty-win-comes-price/;http://italaw.com/documents/OostergetelvSlovakRepublic.pdf
UNC521,Achmea B.V. v. The Slovak Republic (PCA Case No. 2013-12) (II),2013,Slovakia,Netherlands,"Insurance, reinsurance and pension funding, except compulsory social security","Claims arising out of the Government's announced plan to establish a unitary public health insurance system in Slovakia run by the State, which would allegedly entail the expropriation of Achmea’s stake in a Slovak health insurance company.",Netherlands-Slovakia BIT,UNCITRAL,PCA,93000000,USD,,USD,Award on Jurisdiction and Admissibility dated 20 May 2014,Yes,No,Not applicable,Awarded in favor of state,None,"Lévy, L.",Yes,"Beechey, J.",Yes,"Dupuy, P.-M.",Yes,http://www.italaw.com/cases/2564,http://globalarbitrationreview.com/news/article/32673/slovakia-defeats-claim-future-expropriation/;http://globalarbitrationreview.com/news/article/31164/measures-targeting-health-insurers-lead-new-claim-against-slovakia/;http://www.iareporter.com/articles/20140613_3
UNC228,The Rompetrol Group N.V. v. Romania (ICSID Case No. ARB/06/3),2006,Romania,Netherlands,Manufacture of coke and refined petroleum products,"Claims arising out of investigations undertaken by Romanian anti-corruption and criminal prosecution authorities relating to the privatisation of an oil refinery company, shortly after the sale of the controlling shares to the claimant, allegedly including the arrest, detention, travel-ban and wire-tapping of key company's executives.",Netherlands-Romania BIT,ICSID,ICSID,100000000,USD,,USD,Decision on Respondent’s Preliminary Objections on Jurisdiction and Admissibility dated 18 April 2008; Award dated 6 May 2013,Yes,No,Not applicable,Awarded in favor of neither investor nor state,None,"Berman, F.",Yes,"Donovan, D.",Yes,"Lalonde, M.",Yes,http://www.italaw.com/cases/920,https://icsid.worldbank.org/apps/ICSIDWEB/cases/Pages/casedetail.aspx?CaseNo=ARB/06/3
UNC313,Alapli Elektrik B.V. v. Turkey (ICSID Case No. ARB/08/13),2008,Turkey,Netherlands,"Electricity, gas, steam and air conditioning supply","Claims arising out of a concession to develop, finance, construct, own, operate and transfer a combined cycle power plant in Turkey and a number of legislative changes in 2000 concerning infrastructure projects in Turkey.",Energy Charter Treaty; Netherlands-Turkey BIT,ICSID,ICSID,100000000,USD,,USD,Award dated 16 July 2012,Yes,Yes,Dissenting Opinion of Marc Lalonde (Award),Awarded in favor of state,Annulment,"Park, W. W.",Yes,"Lalonde, M.",Yes,"Stern, B.",Yes,http://www.italaw.com/cases/1708,https://icsid.worldbank.org/apps/ICSIDWEB/cases/Pages/casedetail.aspx?CaseNo=ARB/08/13;http://www.encharter.org/index.php?id=380;http://globalarbitrationreview.com/news/article/32816/turkish-power-plant-award-upheld-icsid/;http://www.sidley.com/experience/recent-investor-state-arbitrations;http://www.volterrafietta.com/experience.energy.asp;http://www.iareporter.com/articles/20130118_1
UNC249,Liman Caspian Oil BV and NCL Dutch Investment BV v. Kazakhstan (ICSID Case No. ARB/07/14),2007,Kazakhstan,Netherlands,Extraction of crude petroleum and natural gas,Claims arising out of the transfer of claimants' license to explore and extract hydrocarbons in the Liman block in Western Kazakhstan.,Energy Charter Treaty,ICSID,ICSID,200000000,USD,,USD,Award dated 22 June 2010,Yes,No,Not applicable,Awarded in favor of state,None,"Böckstiegel, K.-H.",Yes,"Hobér, K.",Yes,"Crawford, J. R.",Yes,http://www.italaw.com/cases/1977,https://icsid.worldbank.org/apps/ICSIDWEB/cases/Pages/casedetail.aspx?CaseNo=ARB/07/14;http://globalarbitrationreview.com/news/article/14026/oil-company-fights-kazakhstan-drilling-rights/
UNC227,"Azpetrol International Holdings B.V., Azpetrol Group B.V. and Azpetrol Oil Services Group B.V. v. Azerbaijan (ICSID Case No. ARB/06/15)",2006,Azerbaijan,Netherlands,"Electricity, gas, steam and air conditioning supply; Land transport and transport via pipelines; Warehousing and support activities for transportation","Claims arising out of Azpetrol International Holdings’s loss of its shares in Azpetrol Group and Azpetrol Oil Services Group, after an Azerbaijan court decided the original purchase contract had been ineffective, and returned the shares to their former owner.",Energy Charter Treaty,ICSID,ICSID,300000000,USD,,USD,Award dated 8 September 2009,Yes,No,Not applicable,Awarded in favor of state,None,"Feliciano, F. P. (replacement); Watts, A. (deceased)",Yes,"Brower, C. N.",Yes,"Greenwood, C.",Yes,http://www.italaw.com/cases/116,https://icsid.worldbank.org/apps/ICSIDWEB/cases/Pages/casedetail.aspx?CaseNo=ARB/06/15;http://www.allenovery.com/news/en-gb/articles/Pages/ICSID-Tribunal-dismisses-Azpetrol-arbitration.aspx;http://globalarbitrationreview.com/journal/article/16464/energy-charter-treaty-new-claims-azpetrol-launches-ect-claim/;http://globalarbitrationreview.com/news/article/13595/azpetrol-launches-ect-claim/;http://globalarbitrationreview.com/news/article/18852/azpetrol-award-documents-remarkable-events/
UNC514,USA Steel Global Holdings I B.V. v. The Slovak Republic (PCA Case No. 2013-6),2013,Slovakia,Netherlands,Manufacture of basic metals,"Claims arising out of the imposition of certain electricity tariffs upon claimant's local steel plant, US Steel Košice.",Netherlands-Slovakia BIT,UNCITRAL,PCA,300000000,USD,,USD,Not applicable,No,No,Not applicable,Discontinued,None,"Reisman, W. M.",Yes,"Volterra, R.",Yes,"Crawford, J. R.",Yes,http://www.italaw.com/cases/1903,http://www.pca-cpa.org/showpage.asp?pag_id=1509;http://www.finance.gov.sk/En/Default.aspx?CatID=10&id=77;http://globalarbitrationreview.com/news/article/32743/us-steel-drops-slovakia-claim/;http://globalarbitrationreview.com/news/article/31133/slovakia-sued-steelmaker-power-tariffs/;http://www.iareporter.com/articles/20130612
UNC281,Invesmart v. Czech Republic,2007,Czech Republic,Netherlands,"Financial service activities, except insurance and pension funding",Claims arising out of the alleged withdrawal by the Czech previous commitments to provide State support to the foreign-owned bank.,Czech Republic-Netherlands BIT,UNCITRAL,Ad hoc,349100000,USD,,USD,Award dated 3 July 2009,No,No,Not applicable,Awarded in favor of state,Data not available,"Pryles, M. C.",Yes,"Bernardini, P.",Yes,"Thomas, J. C.",Yes,http://www.italaw.com/cases/577,http://www.iareporter.com/articles/20090719_1;http://globalarbitrationreview.com/news/article/18045/czech-government-wins-first-bit-claim-hopes-others-will-back-down/;http://globalarbitrationreview.com/news/article/14033/panel-constituted-czech-bank-claim/
UNC417,Tulip Real Estate Investment and Development Netherlands B.V. v. Turkey (ICSID Case No. ARB/11/28),2011,Turkey,Netherlands,Real estate activities,"Claims arising out of the alleged Government's termination of a mixed-use residential and commercial real estate development project in Istanbul, known as Ispartakule III, in which the claimant held interests.",Netherlands-Turkey BIT,ICSID,ICSID,450000000,USD,,USD,Decision on Bifurcated Jurisdictional Issue dated 5 March 2013;Award dated 10 March 2014,Yes,Yes,"Separate Opinion of Michael Evan Jaffe on the Question of Attribution Under Art 8, ILC Articles (Award)",Awarded in favor of state,Annulment,"Griffith, G.",Yes,"Jaffe, M. E.",Yes,"Knieper, R.",Yes,http://www.italaw.com/cases/1124,https://icsid.worldbank.org/apps/ICSIDWEB/cases/Pages/casedetail.aspx?CaseNo=ARB/11/28;http://globalarbitrationreview.com/news/article/29892/dutch-developer-files-icsid-turkey-shuts-door-housing-project/
UNC453,Highbury International AVV and Ramstein Trading Inc. v. Venezuela (ICSID Case No. ARB/11/1),2011,"Venezuela, Bolivarian Republic of",Netherlands; Panama,Mining of metal ores,Claims arising out of the Government's alleged coercive taking of the areas where claimants held mining concessions within the region of the Lower Caroní River without payment of compensation.,Netherlands-Venezuela BIT,ICSID,ICSID,633000000,USD,,USD,Award dated 26 September 2013,Yes,No,Not applicable,Awarded in favor of state,Annulment,"Barros Bourie, E.",Yes,"Tawil, G. S.",Yes,"von Wobeser, C.",Yes,http://www.italaw.com/cases/2250,https://icsid.worldbank.org/apps/ICSIDWEB/cases/Pages/casedetail.aspx?CaseNo=ARB/11/1;http://globalarbitrationreview.com/news/article/32666/mining-investors-refile-against-venezuela-new-claimant/;http://globalarbitrationreview.com/news/article/31933/venezuela-knocks-mining-claim/;http://www.iareporter.com/articles/20130930_3;http://www.globalarbitrationreview.com/cdn/files/gar/articles/Highbury_Laudo.pdf;http://www.globalarbitrationreview.com/cdn/files/gar/articles/Highbury_Grievance_Report_v_Jan_3_2014.pdf
