ID,CaseTitle,InitiationYear,ResolutionYear,RespondentState,ClaimantCountry,ClaimantName,InvestmentType,ArbitrationRules,LegalInstrument,OutcomeStatus,amountSought,amountSought_cur,amountAwarded,amountAwarded_cur,Arbitrator1,Arbitrator1President,Arbitrator2,Arbitrator2Claimant,Arbitrator3,Arbitrator3Respondent,description,italaw,DescriptionOutcome,SourcesAndComments
UNC001,,,,,,,,,,,,,,,,,,,,,,,,
UNC002,,,,,,,,,,,,,,,,,,,,,,,,
UNC003,,,,,,,,,,,,,DU,DU,,,,,,,,Not found,,
UNC004,,,1995,,,,,,,,1587000,USD,,,Pierre Karrer,Yes,Georg Ahrens,Yes,Tadeusz Szurski,Yes,,http://www.italaw.com/cases/946; http://www.italaw.com/documents/investment_investsd_jan5_2004_000.pdf,,
UNC005,,,,,,,,,,,,,,,,,,,,,,,,
UNC006,,,,,,,,,,,,,DU,DU,,,,,,,,,,
UNC007,,,,,,,,,,,,,DU,DU,,,,,,,,Not found,,More on http://www.nytimes.com/1996/01/04/business/international-briefs-france-telecom-files-claim-against-poland.html
UNC008,,,,,,,,,,,,,DU,DU,,,,,,,"During the 1990’s, Ameritech (now SBC Communications) provided analogue cellular telephone service through a joint-venture with Poland's state-owned telephone company. Ameritech filed for arbitration against the Polish Government under the UNCITRAL rules in 1996, alleging that the Polish authorities had violated contractual undertakings and provisions of the U.S.-Poland bilateral investment treaty when Poland declined to award a digital GSM cellular licence to Ameritech and instead put the licence out for tender. Ameritech disposed of its stake in the Polish joint-venture in December of 1996 and settled its arbitration claim with Poland around the same time. Terms were never made public.",Not found,,
UNC009,,,,,,,,,,,,,,,,,,,,,,,,
UNC010,,,2001,,,,,,,,,,NA,NA,,,,,,,"Following on the heels of its successful claim, Saar Papier launched a second investment arbitration seeking further damages for a subsequent time period during which Poland continued to block Saar Papier's operations. However, sources familiar with the case indicate that the second arbitration tribunal ruled in favor of the Polish Government in June of 2001 - a fact confirmed by the Polish Treasury Ministry.", http://www.italaw.com/documents/investment_investsd_jan5_2004_000.pdf,,
UNC011,,,,,,,,,,,,,,,,,,,,,,,,
UNC012,,,,,,,,,,,,,,,Staffan Magnusson,Yes,Jan Peter Wachler,Yes,Ivan Zykin,Yes,,,,
UNC013,,,,,,,,,,,,,DU,DU,,,,,,,,,,
UNC014,,,,,,,,,,,,,DU,DU,,,,,,,,,,
UNC015,,,,,,,,,,,,,,,,,,,,,"Ceskolovenska Obchodni Banka (CSOB) - a commercial bank under Czech law - claimed Slovak Repubic breached their agreement on the basic principles of a financial consolidation of CSOB that had previously been agreed between the Ministry of finacnce of the Czech Republic, the Ministry of Finance of the Slovak Republic and CSOB. CSOB claimed for losses incurred as a result and also for damages.",http://www.worldbank.org/icsid/cases/csob_decision.pdf http://www.worldbank.org/icsid/cases/csob.pdfhttp://ita.law.uvic.ca/documents/Cesk-Slovakia-AwardDec2004.pdf,,
UNC016,,,,,,,,,,,,,,,,,,,,,,,,
UNC017,,,,,,,,,,,,,,,,,,,,,,,,
UNC018,,,,,,,,,,,,,,,,,,,,,,,,
UNC019,,,,,,,,,,,,,,,,,,,,,"Claims arising from treatment allegedly received by the investor from Spanish entities, in connection with his investment in an enterprise for the production and distribution of chemical products in the Spanish region of Galicia.",,,
UNC020,,,,,,,,,,,,,,,,,,,,,,,,
UNC021,,,,,,,waste paper enterprise,,,,3000000,USD,DU,DU,,,,,,,,http://www.italaw.com/documents/investment_investsd_jan5_2004_000.pdf,,
UNC022,,,,,,,,,,,,,,,,,,,,,,,,
UNC023,,,,,,,,,,,,,DU,DU,,,,,,,,,,
UNC024,,,,,,,,,,,,,,,,,,,,,"Claimants, a Canadian funeral home chain and its founder, wish to be compensated by the U.S. for the consequences of a runaway Mississippi jury verdict, in a case arising out of a small dispute with a local funeral home.",,,Scorecard 2005 says claim is 1.125 billion
UNC025,,,,,,,,,,,,,,,,,,,,,,,,
UNC026,,,,,,,,,,,,,,,,,,,,,,,,
UNC027,,,,,,,,,,,,,DU,DU,,,,,,,,,,
UNC028,,,,,,,,,,,,,DU,DU,,,,,,,,,,
UNC029,,,,,,,,,,,,,,,,,,,,,,,,
UNC030,,,,,,,,,,,,,,,,,,,,,,,,
UNC031,,,,,,,,,,,,,DU,DU,,,,,,,,,,
UNC032,,,,,,,,,,,,,,,,,,,,,,,,
UNC033,,,,,,,,,,,,,,,,,,,,,,,,
UNC034,,,,,,,,,,,,,,,,,,,,,,,,
UNC035,,,,,,,,,,,,,nihil,USD,,,,,,,Lauder invested in private television broadcaster with CME and sought damages for the alleged interference of the Czech media council into the business arrangements which contributed to losses experienced by Lauder.,,"(no damages awarded) On 19 August 1999, Mr. Lauder commenced arbitration proceedings against the Czech Republic under the Czech Republic - US Treaty, claiming that the Czech Republic, through its Media Council, had violated the Treaty. ",connected to UNC052
UNC036,,,,,,,,,,,,,,,,,,,,,"SwemBalt claimed compensation for loss of a vessel SJFW/SwedeBalt, which was registered in Sweden and was leased to SwemBalt's subsidiary SwedeBalt SIA. The vessel was moored in the Port of Riga with the permission of the relevant Latvian authorities and in accordance with a land lease agreement with the Kurzeme district of Riga. ",,,
UNC037,,,,,,,,,,,,,,,,,,,,,,,,
