Case title,code,ID,ResolutionYear,treaty,InvestmentType,Arbitrator1,Arbitrator1President,Arbitrator2,Arbitrator2Claimant,Arbitrator3,Arbitrator3Respondent,amountSought,amountSought_cur,OutcomeStatus,amountAwarded,amountAwarded_cur,Frank-description,italaw,Icsid?,Gus?,Islg?
British Caribbean Bank Ltd. v. The Government of Belize (PCA Case No. 2010-18),,UNC385,2014,BIT,media,Albert Jan van den Berg,YES,John Beechey,YES,Rodrigo Oreamuno Blanco,YES,45100000,USD,,41700000,USD,unknown who appointed whom,http://www.italaw.com/cases/177,,,
White Industries Australia Limited v. The India,,UNC380,2011,BIT,mining,J. William Rowley,YES,Charles Brower,YES,Christopher Lau,YES,8110000,USD,investor,8110000,USD,,http://www.italaw.com/cases/1169,,,
Petrobart Ltd. v. The Kyrgyz Republic (SCC Case No. 126/2003),,UNC128,2007,Energy Charter,oil and gas,Hans Danelius,YES,Ove Bring,YES,Jeroen Smets,YES,DU,,investor,1100000,USD,,http://www.italaw.com/cases/825,,,
"St. Marys VCNA, LLC v. The Government of Canada",,UNC445,2013,NAFTA,quarry,Michael Pryles,YES,Brigitte Stern,YES,Richard Stewart,YES,275000000,USD,settled; no basis for claim,0,,,http://www.italaw.com/cases/1196,,,
Miminco LLC and others v. Democratic the Congo (ICSID Case No. ARB/03/14),,UNC112,2007,BIT,mining,Ahmed El-Kosheri,YES,Marc Lalonde,YES,Catherine Kessedjian,YES,DU,,,,,,http://www.italaw.com/cases/3586,,,
International Thunderbird Gaming Corporation v. The United Mexican States,,UNC092,2006,NAFTA,,Albert Jan van den Berg,YES,Thomas Wälde,YES,Agustín Portal Ariosa,YES,DU,,,,,arb claimant dissents,http://www.italaw.com/cases/571,,,
Canfor Corporation v. USA,,UNC082,2007,NAFTA,forest,Albert Jan van den Berg,YES,Armand de Mestral,YES,Davis Robinson,YES,DU,,,,,merged with 2 other claims,http://www.italaw.com/cases/200,,,
Dunkeld International Investment Limited v. The Government of Belize (PCA Case No. 2010-21) (II),,UNC386,,BIT,,Albert Jan van den Berg,YES,John Beechey,YES,Rodrigo Oreamuno Blanco,YES,DU,,,,,unknown who appointed whom,http://www.italaw.com/cases/362,,,
Quadrant Pacific Growth Fund L.P. and Canasco Holdings Inc. v. Costa Rica (ICSID Case No. ARB(AF)/08/1),,UNC303,2010,BIT,,Alejandro Garro,YES,Andreas Lowenfeld,YES,Bernardo Cremades,YES,DU,,,,,,http://www.italaw.com/cases/883,,,
Erhas and others v. Turkmenistan,,UNC519,,BIT,,Alexis Mourre,YES,Stanimir Alexandrov,YES,Zachary Douglas,YES,DU,,,,,more on http://www.iareporter.com/articles/uncitral-tribunal-will-hear-turkmenistans-argument-that-a-bloc-of-claimants-cant-band-together-to-bring-a-multi-party-bit-claim/,http://www.italaw.com/cases/2360,,,
