ID,Case Title,Case Number,InvestmentType,Date Registered,Arbitrator1,Arbitrator1President,President Nationality,Arbitrator2,Arbitrator2Claimant,Arbitrators 1 Nationality,Arbitrator3,Arbitrator3Respondent,Arbitrator 2 Nationality,Claimant Representative,Respondent Representative,Outcome Of Proceeding,ResolutionYear
UNC005,Antoine Goetz and others v. Republic of Burundi,ARB/95/3,"Mining, banking and service enterprises",2001-03-27,Gilbert GUILLAUME,YES,French,Jean-Denis BREDIN,YES,French,Ahmed Sadek EL-KOSHERI,YES,Egyptian,"Herbosch & Herbosch, Gravenwezel, Belgium Hanotiau & van den Berg, Brussels, Belgium","Ministre de la Justice et Garde des Sceaux and Avocat de l’Etat, Directeur du contentieux au Ministère de la Justice, Bujumbura, Burundi Liedekerke, Wolters, Waelbroek, Kirkpatrick, Brussels, Belgium Sixte Sizimwe Kazirukanyo, Bujumbura, Burundi","Award rendered on June 21, 2012.",2012
,Capital Financial Holdings Luxembourg S.A. v. Republic of Cameroon,ARB/15/18,Company shareholding,2015-05-20,Pierre TERCIER,YES,Swiss,Alexis MOURRE,YES,French,Alain PELLET,YES,French,"Jones Day, Paris, France","Ministry of Justice, Yaoundé, Cameroon Curtis Mallet-Prevost, Colt & Mosle, Paris, France",,
UNC540,Courts (Indian Ocean) Limited and Courts Madagascar S.A.R.L. v. Republic of Madagascar,ARB/13/34,Electronic goods and home furnishing facilities,2013-12-23,Pierre TERCIER,YES,Swiss,John BEECHEY,YES,British,Alain PELLET,YES,French,,"Stephan Marx, Paris, France Nathalie Martins, Paris, France Walid Ben Hamida, Paris, France",,
UNC097,"Ahmonseto, Inc. and others v. Arab Republic of Egypt",ARB/02/15,Textile enterprise,2002-11-18,Pierre TERCIER,YES,Swiss,Ibrahim FADLALLAH,YES,"French, Lebanese",Alain VIANDIER,YES,French,"Shearman & Sterling, Paris, France","Language(s) of Proceeding;Status of Proceeding;Concluded;Outcome of Proceeding;Award rendered on June 18, 2007.;(b) Annulment Proceeding;Applicant(s)/Requesting Party(ies);Claimant(s);Respondent(s) on Annulment;Date Registered;November 2, 2007 (Claimant(s));Date of Constitution of ad hoc Committee;March 4, 2008;Composition of ad hoc Committee (Appointed by the Chairman of the Administrative Council);President;Piero BERNARDINI (Italian);Members;Azzedine KETTANI (Moroccan) Peter TOMKA (Slovak);Initial Composition of ad hoc Committee;President;Members;Reconstituted;Party Representatives;Claimant(s): Shearman & Sterling, Paris, France","Award rendered on June 18, 2007.",2007
,Enrho St Limited v. Republic of Kazakhstan,ARB/02/11,Energy enterprise,2002-09-06,Jan PAULSSON,YES,French,Ahmed Sadek EL-KOSHERI,YES,Egyptian,Albert Jan VAN DEN BERG,YES,Dutch,"Herbert Smith, London, U.K.","Richards Butler, London, U.K.","Settlement agreed by the parties and proceeding discontinued at their request (Order taking note of the discontinuance issued by the Tribunal on November 8, 2004 pursuant to Arbitration Rule 43(1)).",2004
UNC495,Orascom TMT Investments S.à r.l. v. People's Democratic Republic of Algeria,ARB/12/35,Telecommunications enterprise,2012-11-15,Gabrielle KAUFMANN-KOHLER,YES,Swiss,Brigitte STERN,YES,French,Albert Jan VAN DEN BERG,YES,Dutch,"White & Case, Washington, D.C., U.S.A.","Shearman & Sterling, Paris, France",,
UNC171,BP America Production Company and others v. Argentine Republic,ARB/04/8,Hydrocarbon concession and electricity generation project,2004-02-27,Lucius CAFLISCH,YES,Swiss,Brigitte STERN,YES,French,Albert Jan VAN DEN BERG,YES,Dutch,"King & Spalding, Houston, TX, U.S.A. Pérez Alati, Grondona, Benites, Arntsen & Martínez de Hoz (Jr.) Richard J. Spies, Buenos Aires, Argentina","Procurador del Tesoro de la Nación, Buenos Aires, Argentina","Settlement agreed by the parties and proceeding discontinued at their request (Order taking note of the discontinuance issued by the Tribunal on August 20, 2008 pursuant to Arbitration Rule 43(1)).",2008
UNC132,ADC Affiliate Limited and ADC & ADMC Management Limited v. Republic of Hungary,ARB/03/16,Airport project,2003-07-17,Neil KAPLAN,YES,British,Charles N. BROWER,YES,U.S.,Albert Jan VAN DEN BERG,YES,Dutch,"Ogilvy Renault, Montreal, Canada Fasken Martineau DuMoulin, Montreal, Canada Squire Sanders & Dempsey, Budapest, Hungary","Clifford Chance, London, U.K. Köves & Társai Ügyvédi Iroda, Clifford Chance, Budapest, Hungary","Award rendered on October 2, 2006",2006
UNC178,Duke Energy Electroquil Partners and Electroquil S.A. v. Republic of Ecuador,ARB/04/19,Power generation facilities,2004-10-07,Gabrielle KAUFMANN-KOHLER,YES,Swiss,Enrique GÓMEZ-PINZÓN,YES,Colombian,Albert Jan VAN DEN BERG,YES,Dutch,"Crowell & Moring, Washington, D.C., U.S.A. Fullbright & Jaworski, Houston, TX, U.S.A. Coronel y Pérez Abogados, Guayaquil, Ecuador","Procurador General del Estado, Quito, Ecuador Estudio Jurídico Cabezas y Wray, Quito, Ecuador Latham & Watkins, London, U.K.","Award rendered on August 18, 2008.",2008
UNC093,"LG&E Energy Corp., LG&E Capital Corp. and LG&E International Inc. v. Argentine Republic",ARB/02/1,Gas distribution enterprise,2002-01-31,Tatiana BOGDANOWSKY DE MAEKELT,YES,Venezuelan,Francisco REZEK,YES,Brazilian,Albert Jan VAN DEN BERG,YES,Dutch,"Covington & Burling, Washington, D.C., U.S.A. Deputy General Counsel, E. ON U.S., Louisville, KY, U.S.A. Rosso Alba, Francia & Ruiz Moreno, Buenos Aires, Argentina","Procurador del Tesoro de la Nación, Buenos Aires, Argentina","Award rendered on July 25, 2007.",2007
,Atlantic Triton Company Limited v. People's Revolutionary Republic of Guinea,ARB/84/1,"Contract for the conversion, equipping and operation of fishing vessels",1984-01-19,Pieter SANDERS,YES,Dutch,Jean-François PRAT,YES,French,Albert Jan VAN DEN BERG,YES,Dutch,"Giroux, Buhagiar et Associés, Paris, France","Coudert Brothers, Paris, France Ministère de l'Elevage et de la Pêche, Conakry, People's Revolutionary Republic of Guinea","Award rendered by the Tribunal on April 21, 1986.",1986
UNC041,Alex Genin and others v. Republic of Estonia,ARB/99/2,Banking enterprise,1999-05-12,L. Yves FORTIER,YES,Canadian,Meir HETH,YES,Israeli,Albert Jan VAN DEN BERG,YES,Dutch,"Kurt Arbuckle, P.C., Houston, TX, U.S.A.","Beirne, Maynard & Parsons, Houston, TX, U.S.A. Howrey & Simon, Washington, D.C., U.S.A.","Award rendered on June 25, 2001.",2001
,"Churchill Mining and Planet Mining Pty Ltd, formerly ARB/12/40 v. Republic of Indonesia",ARB/12/40 and 12/14,Coal mining project,2012-12-26,Gabrielle KAUFMANN-KOHLER,YES,Swiss,Michael HWANG,YES,Singaporean,Albert Jan VAN DEN BERG,YES,Dutch,"Clifford Chance, Perth, Australia, Hong Kong SAR, China, Singapore, Singapore, and London, U.K.","Minister of Law and Human Rights, Jakarta, Indonesia Didi Dermawan, Jakarta, Indonesia DNC Advocates at Work, Jakarta, Indonesia",,
UNC027,"Houston Industries Energy, Inc. and others v. Argentine Republic",ARB/98/1,Electricity distribution and sale concession,1998-02-25,Piero BERNARDINI,YES,Italian,Santiago TORRES BERNÁRDEZ,YES,Spanish,Albert Jan VAN DEN BERG,YES,Dutch,"Skadden, Arps, Slate, Meagher & Flom, New York, NY, U.S.A. Marval, O'Farrel & Mairal, Buenos Aires, Argentina","Procurador del Tesoro de la Nación, Procuración del Tesoro de la Nación, Buenos Aires, Argentina","Award rendered on August 24, 2001, attached to the award is a separate opinion by one of the arbitrators.",2001
UNC285,Abaclat and others v. Argentine Republic,ARB/07/5,Debt instruments,2007-02-07,Pierre TERCIER,YES,Swiss,Santiago TORRES BERNÁRDEZ,YES,Spanish,Albert Jan VAN DEN BERG,YES,Dutch,"White & Case, Washington, D.C., U.S.A. Legance Studio Legale Associato, Rome, Italy Perez Alati, Grondona, Benitez, Arntsen & Martinez De Hoz (Jr.), Buenos Aires, Argentina","Procuradora del Tesoro de la Naci&oacuten, Buenos Aires, Argentina Cleary, Gottlieb, Steen & Hamilton, New York, NY, U.S.A.",,
UNC448,Fraport AG Frankfurt Airport Services Worldwide v. Republic of the Philippines,ARB/11/12,Construction of an airport terminal,2011-04-27,Piero BERNARDINI,YES,Italian,Stanimir A. ALEXANDROV,YES,Bulgarian,Albert Jan VAN DEN BERG,YES,Dutch,"Milbank, Tweed, Hadley & McCloy, Washington, D.C., U.S.A.","Office of the Solicitor General of the Philippines, Makati City, Philippines Florentino P. Feliciano, Makai City, Philippines White & Case, Washington, D.C., U.S.A.","Award rendered on December 10, 2014.",2014
,Mobile TeleSystems OJSC v. Republic of Uzbekistan,ARB(AF)/12/7,Telecommunications enterprise,2012-11-15,Gavan GRIFFITH,YES,Australian,W. Michael REISMAN,YES,U.S.,Albert Jan VAN DEN BERG,YES,Dutch,"Debevoise & Plimpton, London, U.K.","Boies, Schiller & Flexner, Miami, FL, U.S.A.","Order taking note of the discontinuance issued by the Tribunal on November 14, 2014, pursuant to Article 49(1) of the Arbitration (Additional Facility) Rules.",2014
