ARB ID,ID,CaseTitle,InitiationYear,RespondentState,ClaimantCountry,ClaimantName,ArbitrationRules,LegalInstrument,OutcomeStatus
ARB/01/1,UNC044,Yaung Chi OO Trading Pte Ltd. v. Government of the Union of Myanmar (ASEAN I.D. Case No. ARB/01/1),2000,Myanmar,Singapore,Yaung Chi OO Trading Pte Ltd.,ICSID AF,1987 ASEAN Agreement; 1998 ASEAN Agreement,In favour of the State
ARB/95/1,UNC006,Leaf Tobacco A. Michaelides S.A. and Greek-Albanian Leaf Tobacco & Co. S.A. v. Albania (ICSID Case No. ARB/95/1),1995,Albania,Greece,Leaf Tobacco A. Michaelides S.A. and Greek-Albanian Leaf Tobacco & Co. S.A.,ICSID,Albania-Greece BIT,Settled
ARB/07/21,UNC268,Pantechniki S.A. Contractors & Engineers v. Albania (ICSID Case No. ARB/07/21),2007,Albania,Greece,Pantechniki S.A. Contractors & Engineers,ICSID,Albania-Greece BIT,In favour of the State
ARB/11/24,UNC405,Mamidoil Jetoil Greek Petroleum Products Societe Anonyme S.A. v. Albania (ICSID Case No. ARB/11/24),2011,Albania,Greece,Mamidoil Jetoil Greek Petroleum Products Societe Anonyme S.A.,ICSID,Albania-Greece BIT,Pending
ARB/11/18,UNC412,Burimi SRL and Eagle Games SH.A v. Albania (ICSID Case No. ARB/11/18),2011,Albania,Italy,Burimi SRL and Eagle Games SH.A,ICSID,Albania-Italy BIT,In favour of the State
ARB/12/35,UNC495,Orascom TMT Investments S.à r.l. v. Algeria (ICSID Case No. ARB/12/35),2012,Algeria,Luxembourg,Orascom TMT Investments S.à r.l.,ICSID,Algeria-Belgium/Luxembourg BIT,Pending
ARB/09/14,UNC337,"Mærsk Olie, Algeriet A/S v. Algeria (ICSID Case No. ARB/09/14)",2009,Algeria,Denmark,"Mærsk Olie, Algeriet A/S",ICSID,Algeria-Denmark BIT,Settled
#N/A,UNC462,Orascom Telelcom Holding v. Algeria,2012,Algeria,Egypt,Orascom Telelcom Holding,UNCITRAL,Algeria-Egypt BIT,Settled
ARB/12/32,UNC474,Gelsenwasser AG v. Algeria (ICSID Case No. ARB/12/32),2012,Algeria,Germany,Gelsenwasser AG,ICSID,Algeria-Germany BIT,Discontinued (for unknown reasons or reasons other than settlement)
ARB/03/8,UNC106,Consortium Groupement L.E.S.I. - DIPENTA v. Algeria (ICSID Case No. ARB/03/8),2003,Algeria,Italy,Consortium Groupement L.E.S.I. - DIPENTA,ICSID,Algeria-Italy BIT,In favour of the State
ARB/05/3,UNC196,"LESI, S.p.A. and Astaldi, S.p.A. v. Algeria (ICSID Case No. ARB/05/3)",2005,Algeria,Italy,"LESI, S.p.A. and Astaldi, S.p.A.",ICSID,Algeria-Italy BIT,In favour of the State
ARB/14/32,UNC605,Casinos Austria International GmbH and Casinos Austria Aktiengesellschaft v. Argentine Republic (ICSID Case No. ARB/14/32),2014,Argentina,Austria,Casinos Austria International GmbH and Casinos Austria Aktiengesellschaft,ICSID,Argentina-Austria BIT,Pending
ARB/03/7,UNC109,Camuzzi International S.A. v. Argentine Republic (ICSID Case No. ARB/03/7) (II),2003,Argentina,Luxembourg,Camuzzi International S.A.,ICSID,Argentina-Belgium and Luxembourg BIT,Settled
ARB/03/2,UNC116,Camuzzi International S.A. v. Argentine Republic (ICSID Case No. ARB/03/2) (I),2003,Argentina,Luxembourg,Camuzzi International S.A.,ICSID,Argentina-Belgium and Luxembourg BIT,Pending
#N/A,UNC210,Bank of Nova Scotia v. Argentine Republic,2005,Argentina,Canada,Bank of Nova Scotia,UNCITRAL,Argentina-Canada BIT,Settled
ARB/03/5,UNC102,Metalpar S.A. and Buen Aire S.A. v. Argentine Republic (ICSID Case No. ARB/03/5),2003,Argentina,Chile,Metalpar S.A. and Buen Aire S.A.,ICSID,Argentina-Chile BIT,In favour of the State
ARB/03/21,UNC110,"Enersis, S.A. and others v. Argentine Republic (ICSID Case No. ARB/03/21)",2003,Argentina,Chile,"Enersis, S.A. and others",ICSID,Argentina-Chile BIT,Pending
ARB/05/2,UNC180,Compañía General de Electricidad S.A. and CGE Argentina S.A. v. Argentine Republic (ICSID Case No. ARB/05/2),2005,Argentina,Chile,Compañía General de Electricidad S.A. and CGE Argentina S.A.,ICSID,Argentina-Chile BIT,Settled
