ID,FISCAL YEAR,AMOUNT IN CONTROVERSY,amountSought,DISPUTE,Claimant name,Claimant country,Respondent State,CLAIMANT COUNSEL,RESPONDENTSCOUNSEL,ARBITRAL INST SITE,ARBITRATORS,Arbitrator1,Arbitrator1President,Arbitrator2,Arbitrator3,description,SOURCE,TYPE
UNC022,2009,$797 million,797000000,Victor Pey Casado and Presidente Allende Foundation v. Chile,Victor Pey Casado and Presidente Allende Foundation,Spain,Chile,Cabinet Garces y Prada Abogados; Gide Loyrette Nouel; Ropes & Gray; Professor William W. Park at Boston University School of Law,"Arnold & Porter; General Counsel, Ministry of the Economy, Development and Reconstruction of the Chile; In-house counsel, Ministry of Economy, Development and Reconstruction; Carey & Cia",ICSID/Paris,"Pierre Lalive (president), Mohammed Chemloul, Emmanuel Gaillard",Pierre Lalive,yes,Mohammed Chemloul,Emmanuel Gaillard,"In 2008 Pey, a friend and ally of former Chilean president Salvador Allende, was awarded $10 million in compensation in a dispute over a newspaper that was shuttered during the 1970s coup that brought General Augusto Pinochet to power. Arbitrators ruled that Chile treated other shareholders in a more favorable manner than they treated Pey, and that Chilean courts took too long to resolve Mr. Pey’s grievances—leading to breaches of the Spain-Chile bilateral investment treaty.",,TREATY
UNC051,2009,$275 million,275000000,United Parcel Service of America v. The Government of Canada,United Parcel Service of America,USA,Canada,Appleton & Associates,Government of Canada Justice Department; Heenan Blaikie,Ad hoc (UNCITRAL; with ICSID administration),"Kenneth Keith (president), Ronald Cass, L. Yves Fortier",Kenneth Keith,yes,Ronald Cass,L. Yves Fortier,"In a politically contentious NAFTA arbitration, USA express courier company UPS had accused Canada and its monopoly postal service provider of favoring its own express courier service, Express Post, to the detriment of UPS. However, a majority of an arbitral panel ruled that Canada Post was operating as a commercial service provider, rather than an arm of the state, thus immunizing Canada against several allegations of NAFTA breach. The majority also dismissed a claim that Canadian government officials enforced customs laws to favor Canada Post’s express courier service.",,TREATY
UNC057,2009,$1.25 billion,1250000000,SalUnited Kingdoma Investments B.V. v. Czech Republic,SalUnited Kingdoma Investments B.V.,Netherlands,Czech Republic,Freshfields Bruckhaus Deringer,"Squire, Sanders & Dempsey",Ad hoc (UNCITRAL)/Geneva,"L. Yves Fortier, Peter Behrens, Arthur Watts",L. Yves Fortier,,Peter Behrens,Arthur Watts,"In a cautionary development for other governments grappling with financial crises, in 2008 the Czech Republic paid $181 million in compensation, plus substantial interest, after it was held liable for discriminating against a foreign-owned bank during an earlier banking crisis. The debacle arose after Czech authorities denied SalUnited Kingdoma’s Investicni a Postovni Banka (IPB) certain subsidies that had kept other troubled financial institutions afloat. When IPB, nearing insolvency, was nudged into forced administration and subsequently sold off by the state, SalUnited Kingdoma cried foul and turned to arbitration. While affirming the right of states to put ailing financial institutions into administration, a panel of arbitrators held that the Czech government acted unfairly and discriminatorily toward the foreign-owned bank.",,TREATY
UNC061,2009,Over $500 million,500000000,Azurix Corp. v. Argentine Republic,Azurix Corp.,USA,Argentina,King & Spalding; M. & M. Bomchil,Attorney general of Argentina,"ICSID/Washington, D.C.","Andrés Rigo Sureda, Marc Lalonde, Daniel Hugo Martins",Andrés Rigo Sureda,,Marc Lalonde,Daniel Hugo Martins,"Water dispute leaves Azurix’s coffers flush. Annulment proceedings continue in an ICSID claim pitting the USA water services company, Azurix, against the Argentina. Arbitrators ruled in 2006 that Argentina had interfered with and ultimately terminated claimant’s 30-year concession, contrary to protections owed under the USA–Argentina bilateral investment treaty. With damages of $165 million (preinterest) ordered to Azurix, the award is one of the largest to come out of ICSID.",,TREATY
UNC068,2009,$265 million,265000000,CMS Gas Transmission Co. v. Argentina,CMS Gas Transmission Co.,USA,Argentina,Freshfields Bruckhaus Deringer,Attorney general of Argentina; Matrix Chambers,ICSID/Paris,"Francisco Orrego Vicuña, Marc Lalonde, Francisco Rezek",Francisco Orrego Vicuña,,Marc Lalonde,Francisco Rezek,"CMS was the first USA investor to be awarded compensation from Argentina following losses occasioned by that country’s response to an earlier financial crisis. Arbitrators completely rejected Argentina’s contention that it acted out of necessity in order to respond to an economic and social emergency. In a subsequent controversial ruling, a review panel upheld most of the award, while expressing the view that the original arbitrators committed certain legal errors. Thus far, Argentina has not paid the amounts owed to CMS.",,TREATY
UNC071,2009,Over $400 million,400000000,"Enron Corporation and Ponderosa Assets, LP v. Argentine Republic","Enron Corporation and Ponderosa Assets, LP",USA,Argentina,King & Spalding; M. & M. Bomchil,Attorney general of Argentina,"ICSID/Washington, D.C.","Francisco Orrego Vicuña, Albert Jan van den Berg, Pierre-Yves Tschanz",Francisco Orrego Vicuña,,Albert Jan van den Berg,Pierre-Yves Tschanz,"Enron enjoys victory from beyond the bankruptcy grave. Enron and its subsidiary, Ponderosa, netted a $106 million (preinterest) award when arbitrators ruled that the government improperly interfered with the claimants’ investments in a gas transportation network. In May 2007 arbitrators determined that Argentina breached the USA–Argentina BIT treaty by failing to provide fair and equitable treatment and to observe contractual and legal obligations owed to the claimants. The case is now in annulment, a limited review process provided under ICSID rules in lieu of challenges in domestic courts.",,TREATY
UNC076,2009,$100 million (including interest),100000000,Occidental Exploration and Production Company v. Ecuador,Occidental Exploration and Production Company,USA,Ecuador,Debevoise & Plimpton,"Weil, Gotshal & Manges",Ad hoc (UNCITRAL)/London,"Charles Brower, Patrick Barrera Sweeney, Francisco Orrego Vicuña",Charles Brower,,Patrick Barrera Sweeney,Francisco Orrego Vicuña,"Oxy secured an award for $75 million (plus interest) for breach of the USA–Ecuador bilateral investment treaty. After Ecuador sought unsuccessfully to challenge the award in the United Kingdom courts, the government eventually paid the amount owed.",,TREATY
UNC077,2009,Over $400 million,400000000,Siemens A.G. v. Argentine Republic,Siemens A.G.,Germany,Argentina,M. & M. Bomchil; In-house counsel,Attorney general of Argentina,"ICSID/Washington, D.C.","Andrés Rigo Sureda, Charles Brower, Domingo Bello Janeiro",Andrés Rigo Sureda,,Charles Brower,Domingo Bello Janeiro,"Corruption scandal could lead to claw-back of ICSID award. Argentina has asked an ICSID panel to revisit its February 2007 award in favour of Siemens, following revelations of widespread corruption in the German firm’s international business activities. ICSID arbitrators had earlier awarded Siemens approximately $218 million damages plus interest, after holding that Argentina wrongfully terminated Siemen’s contract to create information systems for Argentine elections, personal identification, and immigration.",,TREATY
UNC079,2009,$100 million,100000000,Chemtura Corporation v. Canada,Chemtura Corporation,USA,Canada,Ogilvy Renault,Foreign Affairs and International Trade Canada; Department of Justice,Ad hoc (UNCITRAL)/Ottawa,"Gabrielle Kaufmann-Kohler, James Crawford, Charles Brower",Gabrielle Kaufmann-Kohler,,James Crawford,Charles Brower,Chemtura turned to NAFTA arbitration to challenge Canada’s phase out of the insecticide Lindane. The company objects to a decision by Canada’s Pest Management Regulatory Agency to ban Lindane on health and environmental grounds. Chemtura says that the PMRA decision was not backed by a rigorous scientific risk assessment of Lindane. Canada has countered that the NAFTA should not be used to hold a state “responsible for the fact that (a company) can no longer profit from the sale of a toxic chemical that has been internationally banned based on demonstrated health and environmental concerns.”,,TREATY
UNC080,2009,$155 million,155000000,SGS Societe Generale de Surveillance S.A. v. the Philippines,SGS Societe Generale de Surveillance S.A.,Switzerland,Philippines,Shearman & Sterling,Allen & Overy; Essex Court Chambers,ICSID/Paris,"Ahmed El-Kosheri (chair), Antonio Crivellaro, James Crawford",Ahmed El-Kosheri,yes,Antonio Crivellaro,James Crawford,"The Swiss firm SGS alleged that the Philippines breached SGS’s contract to provide port inspection services, and in so doing violated the Swiss–Philippines BIT. In January 2004 the tribunal agreed with the claimant that arbitrators have the power to redress contract breaches under an investment treaty’s “umbrella clause.” However, it dismissed the expropriation claim on the merits, stayed the arbitration at the respondents’ request, and held that the matter had to be referred back to the national courts of the Philippines. In 2007 the stay was lifted. Subsequently, the parties reached a settlement agreement under which most of SGS’s unpaid invoices were paid.",,TREATY
UNC083,2009,At least $580 million,580000000,Hussein Nuaman Soufraki v. United Arab Emirates,Hussein Nuaman Soufraki,Italy,United Arab Emirates,Arnold & Porter; Essex Court Chambers,"Allen & Overy; Lauterpacht Research Centre for International Law, Cambridge","ICSID/Washington, D.C.","L. Yves Fortier, Aktham El Kholy, Stephen Schwebel",L. Yves Fortier,,Aktham El Kholy,Stephen Schwebel,"Hussein Nuaman Soufraki contracted to operate a port in Dubai, but claimed that regulators stymied his development of the port in violation of the BIT signed between UAE and Italy. However, an ICSID tribunal ruled in July 2004 that the claimant lost his Italian status when he obtained Canadian citizenship for tax purposes. Soufraki then turned to a new panel seeking annulment of the award; however, this was denied in 2007. Having run aground at ICSID, Soufraki abandoned all hope of relying on the Italy–UAE treaty, and brought a new contract-based claim, which is currently being arbitrated at the Dubai International Arbitration Centre.",,TREATY
UNC084,2009,$600 million,600000000,The AES Corporation v. Argentina,The AES Corporation,USA,Argentina,Clifford Chance; Estudio O’Farrell,Attorney general of Argentina,"ICSID/Washington, D.C.","Karl-Heinz Böckstiegel, Domingo Bello Janerio, Pierre-Marie Dupuy (chair)",Pierre-Marie Dupuy,yes,Domingo Bello Janerio,Karl-Heinz Böckstiegel,"Electricity dispute shorts out. AES claims substantial losses suffered to six electricity generation companies and three distribution companies as a result of the emergency measures taken in response to the Argentine financial crisis. In August 2006 AES withdrew claims related to two distribution companies, Empresa Distribuidora de Energia Norte SA and Empresa Distribuidora de Energia Sur S.A. The remainder of AES’s claims remain suspended pending implementation of a settlement agreement.",,TREATY
UNC085,2009,Over $500 million,500000000,PSEG Global Inc. et al v. Turkey,PSEG Global Inc. et al,USA,Turkey,White & Case,Sidley Austin,"ICSID/Washington, D.C.","Francisco Orrego Vicuña, L. Yves Fortier, Gabrielle Kaufmann-Kohler",Francisco Orrego Vicuña,,L. Yves Fortier,Gabrielle Kaufmann-Kohler,"Dispute regarding a proposed project for the construction and operation of a lignite coal–powered electrical power plant. No power plant was ever built. In January 2007 the panel dismissed most of the claims, but held Turkey liable for approximately $9 million in damages in connection with a claim for fair and equitable treatment.",,TREATY
UNC088,2009,$172 million,172000000,Sempra Energy International Co. v. Argentine Republic,Sempra Energy International Co.,USA,Argentina,King & Spalding; Winston & Strawn,Attorney general of Argentina,"ICSID/Washington, D.C.","Francisco Orrego Vicuña, Sandra Morelli Rico",Francisco Orrego Vicuña,,Sandra Morelli Rico,,"An award of $128 million (plus interest) was rendered in Sempra’s favor in September 2007. Arbitrators held Argentina liable for breaches of the USA–Argentina BIT occasioned by the government’s emergency response to an earlier financial crisis. The award is currently being challenged by Argentina via the ICSID annulment process, a limited review provided under ICSID rules in lieu of challenges in domestic courts.",,TREATY
UNC093,2009,$268 million,268000000,"LG&E Energy LLC (now E.ON USA LLC), LG&E Capital Corp. (now E.ON Capital Corp.), and LG&E International, Inc. v. Argentine Republic","LG&E Energy LLC (now E.ON USA LLC), LG&E Capital Corp. (now E.ON Capital Corp.), and LG&E International, Inc.",USA,Argentina,Covington & Burling,Solicitor of the Treasury,"ICSID/Washington, D.C.","Tatiana de Maekelt, Albert Jan van den Berg, Francisco Rezek",Tatiana de Maekelt,,Albert Jan van den Berg,Francisco Rezek,"LG&E is one of several USA investors to be awarded compensation from Argentina following losses occasioned by that country’s response to an earlier financial crisis. However, in contrast with several other cases, here arbitrators nodded to the gravity of Argentina’s plight by excusing the Argentine government for breaching the USA–Argentina bilateral investment treaty during the 17-month peak of the crisis. The award is currently being challenged in an annulment proceeding, a limited review process provided under ICSID rules in lieu of challenges in domestic courts.",,TREATY
UNC097,2009,$100 million,100000000,"Ahmonseto, Inc., Aida Talebagha, Hala Talebagha USA), Badie Talebagha, E&D Industrial California Overseas Company of America, A. BMH & Co., Inc., and Adel Talebagha v. Egypt","Ahmonseto, Inc., Aida Talebagha, Hala Talebagha USA), Badie Talebagha, E&D Industrial California Overseas Company of America, A. BMH & Co., Inc., and Adel Talebagha",USA,Egypt,Shearman & Sterling,Bredin Prat,"ICSID/Washington, D.C.","Pierre Tercier, Ibrahim Fadlallah, Alain Viandier",Pierre Tercier,,Ibrahim Fadlallah,Alain Viandier,"A family-owned California business alleged that its Egyptian textile investments were unfairly treated and expropriated by the state in violation of the USA–Egypt BIT. However, in June 2007, arbitrators rejected all claims for breach of the USA–Egypt BIT. The award is currently being reviewed by an ICSID annulment committee, a limited form of post-review process provided under ICSID rules.",,TREATY
UNC099,2009,Over $700 million,700000000,Bayindir Insaat Turizm Ticaret Ve Sanayi A.S. v. Islamic Pakistan,Bayindir Insaat Turizm Ticaret Ve Sanayi A.S.,Turkey,Pakistan,Sidley Austin,Eversheds,ICSID/London,"Gabrielle Kaufmann-Kohler, Franklin Berman, Karl-Heinz Böckstiegel",Gabrielle Kaufmann-Kohler,,Franklin Berman,Karl-Heinz Böckstiegel,"Bayindir, a Turkish construction firm, alleges that Pakistan, after a change in government, stripped it of a major highway contract in favor of local companies. Pakistan objected to jurisdiction on the grounds that Bayindir had merely asserted “repackaged” contract claims. The panel affirmed jurisdiction in November 2005. An award is expected in 2009.",,TREATY
UNC103,2009,$150 million,150000000,"Industria Nacional de Alimentos, S.A. (formerly Empresas Lucchetti, S.A.) and Indalsa Peru, S.A. (formerly Lucchetti Peru, S.A.) v. Peru","Industria Nacional de Alimentos, S.A. (formerly Empresas Lucchetti, S.A.) and Indalsa Peru, S.A. (formerly Lucchetti Peru, S.A.)",Chile,Peru,Arnold & Porter; Edmundo Eluchans y Cia,Sidley Austin,"ICSID/Washington, D.C.","Thomas Buergenthal, Jan Paulsson, Bernardo Cremades",Thomas Buergenthal,,Jan Paulsson,Bernardo Cremades,"A Chilean pasta manufacturer complained that Peru unlawfully denied it permits to build a new pasta factory in an area characterized by Peru as environmentally sensitive. Peru alleges corruption, which claimant denied. The tribunal held in February 2005 that it lacked jurisdiction, because the dispute originated before the signature of the Peru–Chile BIT. The award was upheld by a majority after undergoing an annulment review at ICSID.",,TREATY
UNC105,2009,$1.2 billion,1200000000,Electricidad Argentina S.A. and EDF International S.A. v. Argentine Republic,Electricidad Argentina S.A. and EDF International S.A.,France,Argentina,Arnold & Porter,Attorney general of Argentina,"ICSID/Washington, D.C.","William Park, Gabrielle Kaufmann-Kohler, Fernando de Trazegnies Granada",William Park,,Gabrielle Kaufmann-Kohler,Fernando de Trazegnies Granada,This BIT claim involving an electricity concession in the Buenos Aires area has been suspended for several years while renegotiation of the underlying concession contract continues. The dispute has its origins in the financial crisis earlier this decade.,,TREATY
UNC108,2009,$238 million,238000000,BG Group plc v. Argentina,BG Group plc,England,Argentina,Freshfields Bruckhaus Deringer; Marval O’Farrell & Mairal,Attorney general of Argentina,"Ad hoc (UNCITRAL)/Washington, D.C.","Albert Jan van den Berg, Alejandro Garro, Guillermo Aguilar-Alvarez",Albert Jan van den Berg,,Alejandro Garro,Guillermo Aguilar-Alvarez,"In December 2007, arbitrators held that Argentina had breached the terms of the United Kingdom–Argentina bilateral investment treaty. BG had complained that its investments in MetroGas, an Argentine gas distributor, had been harmed by Argentina’s emergency response to an earlier financial crisis. The award is currently being challenged by Argentina in the USA courts. The Argentine government denies that the measures breached the treaty, and insists they were necessary due to the nature of the economic crisis.",,TREATY
UNC109,2009,$225 million,225000000,Camuzzi International S.A. v. Argentine Republic,Camuzzi International S.A.,Netherlands,Argentina,King & Spalding,Attorney general of Argentina,"ICSID/Washington, D.C.","Francisco Orrego Vicuña, Marc Lalonde, Sandra Morelli Rico",Francisco Orrego Vicuña,,Marc Lalonde,Sandra Morelli Rico,"Camuzzi pulled the plug on its arbitration before arbitrators could rule on the merits. The company complained that it had been harmed by Argentina’s emergency response to an earlier financial crisis. However, Camuzzi later struck an agreement with the government permitting it to raise tariffs on its Argentine gas distribution business.",,TREATY
UNC110,2009,Over $1.3 billion,1300000000,"Enersis S.A., Chilectra S.A., Empresa Nacional de Electricidad S.A. and Elesur S.A. v. Argentine Republic","Enersis S.A., Chilectra S.A., Empresa Nacional de Electricidad S.A. and Elesur S.A.",Chile,Argentina,"Jones Day; Pérez Alati, Grondona, Benites, Arntsen & Martínez de Hoz, Jr.",Attorney general of Argentina,ICSID/Paris,"Roberto MacLean, Luis Herrera Marcano, Robert Volterra",Roberto MacLean,,Luis Herrera Marcano,Robert Volterra,"A BIT dispute in the power sector, arising out of the Argentine financial crisis, based on Enersis’s stakes in the Argentine companies EDESUR and Distrilec Inversora S.A. EDESUR signed a renegotiation agreement in 2005, and the parties to the ICSID arbitration requested a temporary stay of the proceedings in 2006 to explore settlement of their claims. The arbitral tribunal has granted subsequent stays, with the latest slated to end in June 2009. ",,TREATY
