ID,FISCAL YEAR,AMOUNT IN CONTROVERSY,amountSought,DISPUTE,Claimant name,Claimant country,Respondent State,CLAIMANT COUNSEL,RESPONDENTSCOUNSEL,ARBITRAL INST SITE,ARBITRATORS,Arbitrator1,Arbitrator2,Arbitrato3,description,SOURCE,TYPE
UNC599,2011,$550 million,550000000,CEAC Holdings Ltd v. Montenegro,CEAC Holdings Ltd,Cyprus,Montenegro,"
",,Ad hoc (UNCITRAL),Hilmar Räschke-Kessler; Rolf Trittmann; Peter Mailänder,Hilmar Räschke-Kessler,Rolf Trittmann,Peter Mailänder,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC516,2011,$4 billion,4000000000,World Wide Minerals Ltd. v. Kazatomprom and Kazakhstan,World Wide Minerals Ltd.,Canada,Kazakhstan,Ogilvy Renault,McGuireWoods;Shearman & Sterling,Ad hoc (UNCITRAL),Stanimir Alexandrov,Stanimir Alexandrov,,,"In the mid-1990s the Canadian mining company World Wide Minerals invested in a Kazakh uranium mine. WWM claims, however, that it did not receive promised export licenses and other rights under its agreements with the Kazakh state. WWM litigated against Kazakhstan and Kazatomprom for years in the USA courts, before finally opting for arbitration. WWM initially brought claims against both Kazakhstan and Kazatomprom, alleging breach of both contract and the Kazakh investment statute. After several months of discussions, WWM elected to go forward against Kazakhstan. Kazakhstan denied the claims, challenged them as untimely, and argued that the claimant lacked jurisdiction under the foreign investment law. The arbitrator dismissed WWM’s claims as untimely in December 2010","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC450,2011,$2 billion,2000000000,Renée Rose Levy de Levi v. Peru,Renée Rose Levy de Levi,France,Peru,Estudio Paitan & Asociados,Sidley Austin,ICSID,Rodrigo Oreamuno; Bernard Hanotiau; Joaquin Morales Godoy,Rodrigo Oreamuno,Bernard Hanotiau,Joaquin Morales Godoy,"Renée Rose Levy, who claims to have been the majority shareholder in the liquidated Peruvian bank, Banco del Nuevo Mundo, alleges breaches of the France-Peru bilateral investment treaty. Peru contests the claim.","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC448,2011,$1 billion,1000000000,Fraport AG and Frankfurt Airport Services Worldwide v. the Philippines,Fraport AG,Germany,Philippines,"Milbank, Tweed, Hadley & McCloy;K&L Gates",Agnes Devanadera;White & Case;Justice Florentino Feliciano (ret.);Sycip Salazar Hernandez & Gatmaitan,ICSID,L.Yves Fortier; Bernardo Cremades; Michael Reisman; Peter Tomka; Dominique Hascher; Campbell McLachlan,L.Yves Fortier,Bernardo Cremades,"Michael Reisman; Peter Tomka; Dominique Hascher; Campbell McLachlan
","Frankfurt airport’s Fraport invested more than $425 million in the construction of a new terminal at Manila’s Ninoy Aquino International Airport. Following construction of the terminal, Fraport alleges that the Philippines nullified the contracts and seized the terminal in violation of its investment treaty. In August 2007 a divided panel declined jurisdiction over the case on the grounds that Fraport had violated Philippine “antidummy” law, which prohibits Filipinos from letting foreigners manage a public utility. However, in December 2010 ICSID annulled the arbitral award, because the original tribunal had denied the parties opportunity to comment fully on the significance of a new authority that the respondent had submitted late in the arbitration—namely, a Philippine special prosecutor’s determination that there had been no violation of Philippine law, and part of the record on which it was based. Fraport submitted a new request to ICSID in March 2011","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC437,2011,$150 million,150000000,Club Hotel Loutraki S.A. and Casinos Austria International Holding GmbH v. The Serbia,Club Hotel Loutraki S.A.,Greece,Serbia,"Arnold & Porter;Miliosm Papaioannou Elrftheriou, Karageorgou & Partners",,ICSID,Horacio Grigera Naon,Horacio Grigera Naon,,,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC423,2011,$1 billion,1000000000,Detroit International Bridge Company v. The Government of Canada,Detroit International Bridge Company,USA,Canada,Debevoise & Plimpton,The Government of Canada,NAFTA,,,,,"A dispute over the Ambassador Bridge, a toll crossing between Detroit and Windsor, Ontario, that is ultimately owned by a private American company. Allegations center on Canada’s decision not to upgrade the access road to the Ambassador Bridge, and Canada’s construction of a new highway designed to divert traffic to a new planned crossing that it will partly own. The claimant argues, over Canada’s objection, that these actions violated investment protections contained in the North American Free Trade Agreement","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC420,2011,$800 million,800000000,The Renco Group v. Peru,The Renco Group,USA,Peru,King & Spalding,,Ad hoc (UNCITRAL),NA,NA,,,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC402,2011,$285 million,285000000,TECO Guatemala Holdings LLC v. Guatemala,TECO Guatemala Holdings LLC,USA,Guatemala,White & Case,Freshfields Bruckhaus Deringer,ICSID,William Park; Rodrigo Oreamuno Blanco,William Park,Rodrigo Oreamuno Blanco,,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC401,2011,$150 million,150000000,Metal-Tech Ltd. v. Uzbekistan,Metal-Tech Ltd.,Israel,Uzbekistan,Covington & Burling,White & Case,ICSID,John Townsend; Gabrielle Kaufmann-Kohler; Claus von Wobesey,John Townsend,Gabrielle Kaufmann-Kohler,Claus von Wobesey,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC399,2011,$150 million,150000000,Rurelec plc and Guaracachi America Inc v. Plurinational State of Bolivia,Rurelec plc,USA,Bolivia,Guevara & Gutierrez;Freshfields Bruckhaus Deringer,,Ad hoc (UNCITRAL),NA,NA,,,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC396,2011,$500 million,500000000,RSM Production Corporation v. Government of Grenada,RSM Production Corporation,USA,Government of Grenada,In-house,Freshfields Bruckhaus Deringer,ICSID,William Rowley; Edward Nottingham; Pierre Tercier,William Rowley,Edward Nottingham,Pierre Tercier,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC394,2011,$500 million,500000000,"Universal Compression International Holdings, S.L.U. (Spain [ownership of investment through Venezuelan companies]) v. Venezuela","Universal Compression International Holdings, S.L.U.",Spain,Venezuela,King & Spalding,"Curtis, Mallet-Prevost, Colt & Mosle",ICSID,J. William Rowley; Brigitte Stern; Guido Santiago Tawil,J. William Rowley,Brigitte Stern,Guido Santiago Tawil,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC388,2011,$275.1 million,275000000,Kilic Insaat Ithalat Ihracat Sanayi Ve Ticaret Anonim Sirketi v. Turkmenistan,Kilic Insaat Ithalat Ihracat Sanayi Ve Ticaret Anonim Sirketi,Turkey,Turkmenistan,Latham & Watkins,"Curtis, Mallet-Prevost, Colt & Mosle",ICSID,Philippe Sands; Martin Hunter,Philippe Sands,Martin Hunter,,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC387,2011,$1 billion,1000000000,Pan American Energy LLC v. Plurinational State of Bolivia,Pan American Energy LLC,Argentina,Bolivia,Freshfields Bruckhaus Deringer,Attorney General of Argentina,ICSID,,,,,"Pan American opted for arbitration under the USA–Bolivia BIT after Bolivia nationalized a 51 percent stake in Pan American subsidiary Empresa Petrolera Chaco SA, a hydrocarbon exploration and production company. Pan American insists that Bolivia’s compensation offer does not reflect the full-market value of the assets, which Bolivia contests","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
