ID,FISCAL YEAR,AMOUNT IN CONTROVERSY,amountSought,DISPUTE,Claimant name,Claimant country,Respondent State,CLAIMANT COUNSEL,RESPONDENTSCOUNSEL,ARBITRAL INST SITE,ARBITRATORS,Arbitrator1,Arbitrator2,Arbitrator3,description,SOURCE,TYPE
UNC022,2013,$797 million,797000000,Victor Pey Casado and President Allende Foundation,Victor Pey Casado,Spain,Chile,"Garcés y Prada Abogados; Gide, Loyrette, Nouel; Buckley Sandler",Arnold & Porter; Carey y Cia,"ICSID/Washington, D.C.",L. Yves Fortier; Piero Bernardini; Ahmed. El-Kosheri,L. Yves Fortier,Piero Bernardini,Ahmed. El-Kosheri,,,TREATY
UNC028,2013,$100 million,100000000,Joseph Lemire v. United Kingdom,Joseph Lemire,USA,United Kingdom,Derains & Gharavi,White & Case,"ICSID/Washington, D.C.",Juan Fernandez-Armesto; Jan Paulsson; Jurgen Voss,Juan Fernandez-Armesto,Jan Paulsson,Jurgen Voss,,,TREATY
UNC071,2013,$150 million,150000000,"Enron Creditors Recovery Corporation and Ponderosa Assets, L.P. v. Argentina",Enron Creditors Recovery Corporation,USA,Argentina,King & Spalding; M & M Bomchil,Argentine Attorney General's Office,"ICSID/Washington, D.C.",Cecil W.M. Abraham: Kamal Hossain; David A.R. Williams,Cecil W.M. Abraham: Kamal Hossain,David A.R. Williams,,,,TREATY
UNC088,2013,$200 million,200000000,Sempra Energy International Co. v. Argentina,Sempra Energy International Co.,USA,Argentina,King & Spalding,Argentine Attorney General's Office,"ICSID/Washington, D.C.",Vaughn Lowe; Kamal Hossain; David A.R. Williams,Vaughn Lowe,Kamal Hossain,David A.R. Williams,,,TREATY
UNC108,2013,$245 million,245000000,BG Group Plc v. Argentina,BG Group Plc,United Kingdom,Argentina,Freshfields Bruckhaus Deringer; Marval O'Farrell & Mairal,Argentine Attorney General’s Office; Gleason & Koatz,"Ad hoc (UNCITRAL)/Washington, D.C.",Guillermo Aguilar-Alvarez; Albert Jan van den Berg; Alejandro Garro,Guillermo Aguilar-Alvarez,Albert Jan van den Berg,Alejandro Garro,,,TREATY
UNC115,2013,$100 million,100000000,Azurix Corp. v. Argentina,Azurix Corp.,USA,Argentina,King & Spalding,Argentine Attorney General's Office,"ICSID/Washington, D.C.",Gustaf Möller; Bernard Hanotiau; Donald McRae,Gustaf Möller,Bernard Hanotiau,Donald McRae,,,TREATY
UNC120,2013,$800 million,800000000,"Suez S.A, Sociedad General de Aguas de Barcelona, and Interagua Servicios Integrales de Agua SA v. Argentina","Suez S.A , and Interagua Servicios Integrales de Agua SA",France,Argentina,Freshfields Bruckhaus Deringer,Argentine Attorney General’s Office,"ICSID/Washington, D.C.",Jeswald Salacuse; Gabrielle Kaufmann- Kohler; Pedro Nikken,Jeswald Salacuse,Gabrielle Kaufmann- Kohler,Pedro Nikken,,,TREATY
UNC121,2013,$1.2 billion,1200000000,"Suez S.A, Sociedad General de Aguas de Barcelona and Vivendi SA v. Argentine Republic","Suez S.A, Sociedad General de Aguas de Barcelona",France,Argentina,Freshfields Bruckhaus Deringer,Argentine Attorney General’s Office,"ICSID/Washington, D.C.",Jeswald Salacuse; Gabrielle Kaufmann-Kohler; Pedro Nikken,Jeswald Salacuse,Gabrielle Kaufmann-Kohler,Pedro Nikken,"In a July 2010 verdict on liability, Argentina was found in breach of treaty protections owed to a cluster of foreign investors in a Buenos Aires water and sewage concession, despite the admission of an amicus brief by human rights NGOs allied with Argentina. The damages phase is still pending.",,TREATY
UNC122,2013,$1 billion,1000000000,Anglian Water Group v. Argentina,Anglian Water Group,United Kingdom,Argentina,Freshfields Bruckhaus Deringer,Argentine Attorney General's Office,Ad hoc (UNCITRAL),Jeswald Salacuse; Gabrielle Kaufmann-Kohler; Pedro Nikken,Jeswald Salacuse,Gabrielle Kaufmann-Kohler,Pedro Nikken,"An UNCITRAL arbitration against Argentina in connection with the water and wastewater concession for the city of Buenos Aires, pursuant to the applicable bilateral investment treaties. In a groundbreaking decision, the tribunal admitted an amicus curiae brief submitted by a group of NGOs on the side of the state. The investors nonetheless won on liability in July 2010. The damages phase is now pending.",,TREATY
UNC129,2013,$200 million,200000000,El Paso Energy International Co. v. Argentina,El Paso Energy International Co.,USA,Argentina,King & Spalding; Perez Alati; Pagbam,Argentine Attorney General's Office,"ICSID/Washington, D.C.",Lucius Caflisch; Piero Bernardini; Brigitte Stern,Lucius Caflisch,Piero Bernardini,Brigitte Stern,,,TREATY
UNC139,2013,$370 million,370000000,"Mobil Exploration and Development Argentina Inc., Suc. Argentina, and Mobil Argentina Sociedad Anónima v. Argentina","Mobil Exploration and Development Argentina Inc. , and Mobil Argentina Sociedad Anónima",USA,Argentina,Pagbam,Argentine Attorney General's Office,"ICSID/Washington, D.C.",Gustaf Möller; Piero Bernardini; Antonio Remiro Brotóns,Gustaf Möller,Piero Bernardini,Antonio Remiro Brotóns,,,TREATY
UNC155,2013,$1.292 billion,1292000000,Total SA  v. Argentina,Total SA ,France,Argentina,Freshfields Bruckhaus Deringer; Abeledo Gottheil Abogados,Argentine Attorney General’s Office,"ICSID/Washington, D.C.",Giorgio Sacerdoti; Luis Herrera Marcano; Henri Alvarez,Giorgio Sacerdoti,Luis Herrera Marcano,Henri Alvarez,"In the largest non-bond claim to arise out of the Argentine financial crisis, Total claims losses under the France-Argentina BIT related to its investments in oil exploration and production, gas transportation, and electricity generation. In December 2010 an award on liability upheld a number of Total's claims. The damages phase is ongoing.",,TREATY
