ID,AMOUNT IN CONTROVERSY int,Amount In Controversy,Dispute,Claimant name,Claimant country,Respondent State,Arbitral Institution and Site,Arbitrators,Claimant's Counsel,Respondent's Counsel
UNC285,2600000000,$2.6 billion,Abaclat et. al. v. Argentina,Abaclat et. al. (Italy),Italy,Argentina,"ICSID / Washington, D.C.",Pierre Tercier; Albert Jan Van Den Berg; Santiago Torres Bernardez,"White & Case; Legance Studio Legale Associato; Perez Alati, Grondona, Benites, Arntsen & Martinez de Hoz",Procuracion del Tesoro de Argentina; Cleary Gottlieb Steen & Hamilton
UNC383,1290000000,$1.29 billion,"AES Corporation, its subsidiary Tau Power v. Ministry of Justice of the Kazakhstan","AES Corporation (USA), its subsidiary Tau Power (Netherlands)",USA,Kazakhstan,"ICSID / Washington, D.C.",Pierre Tercier; Klaus Sachs; Alan Vaughan Lowe,Allen & Overy,Reed Smith
UNC411,2050000000,$2.05 billion,Al-Kharafi and Sons v. Government of Libya,Al-Kharafi and Sons,Kuwait,Government of Libya,Ad hoc,"Ibrahim Fawzi, Mohamed El-Kamoudi El-Hafi, Abdel Hamid El-Ahdab",Fathi Waly and Mahmoud Samir Sharkawi; Nasser Ghanim El-Zaid; Rajab Bashir Al-Bakhnug,Mahfouz Ahmad El-Fokhi of Libya’s General Authority for Investment and Ownership; Hafiza El-Haddad of Beirut; and Hisham Sadek of Cairo
UNC381,1500000000,$1.5 billion,Anatolie Stati and Gabriel Stati; Ascom Group; Terra Raf Trans Traiding v. Kazakhstan,Anatolie Stati and Gabriel Stati; Ascom Group; Terra Raf Trans Traiding (Moldova),Moldova,Kazakhstan,SCC/ECT / Paris,Karl-Heinz Bockstiegel; David Haigh; Sergei Lebedev,King & Spalding,Winston & Strawn; Norton Rose Fulbright; Moscow Regional Collegium of Advocates
UNC458,1500000000,$1.5 billion +,"Apotex Holdings, Apotex v. United States","Apotex Holdings, Apotex (Canada)",Canada,United States,ICSID / New York,V.V. Veeder; J. William Rowley; JohnCrook,Dentons,USA Department of State
UNC311,4600000000,$4.6 billion +,Burlington Resources v. Ecuador,Burlington Resources (USA),USA,Ecuador,"ICSID / Washington, D.C.; Paris",Gabrielle Kaufmann-Kohler; Stephen Drymer; Brigitte Stern,Freshfields Bruckhaus Deringer; Three Crowns; Perez Bustamante & Ponce Abogados; King & Spalding,Dechert
UNC486,1600000000,$1.60 billion,"CC/Devas, Devas Employees Mauritius Private Limited, Telcom Devas Mauritius Limited v. India","CC/Devas (Mauritius), Devas Employees Mauritius Private Limited, Telcom Devas Mauritius Limited (Mauritius)",Mauritius,India,PCA (UNCITRAL) / The Hague,Marc Lalonde; David R. Haigh; Anil Dev Singh,"Skadden, Arps, Slate, Meagher & Flom","Curtis, Mallet-Prevost, Colt & Mosle"
UNC574,2830000000,$2.83 billion,Cem Uzan v. Turkey,Cem Uzan,ND,Turkey,SCC,—,—,Lalive
UNC454,1350000000,$1.35 billion,"Churchill Mining, Planet Mining v. Indonesia","Churchill Mining (United Kingdom), Planet Mining (Australia)",Australia,Indonesia,"ICSID / Singapore; Washington, D.C.",Gabrielle Kaufmann-Kohler; Albert Jan Van Den Berg; Michael Hwang,Quinn Emanuel Urquhart & Sullivan,"Minister of Law and Human Rights; Didi Dermawan, DNS Advocates at Work; Curtis, Mallet-Prevost, Colt & Mosle"
UNC406,3400000000,$3.4 billion,Crystallex International v. Venezuela,Crystallex International (Canada),Canada,Venezuela,"ICSID (AF) / Washington, D.C.",Laurent Levy; JohnGotanda; Laurence Boisson De Chazournes,Freshfields Bruckhaus Deringer,Foley Hoag
UNC552,1600000000,$1.6 billion,Deutsche Telekom v. India,Deutsche Telekom (Germany),Germany,India,PCA (UNCITRAL),Gabrielle Kaufmann-Kohler; Daniel Price; Brigitte Stern,Platinum Partners; Essex Court Chambers,"Curtis, Mallet-Prevost, Colt & Mosle"
UNC596,1650000000,$1.65 billion,"Eurogas, Belmont Resources v. Slovak Republic","Eurogas (USA), Belmont Resources (Canada)",USA,Slovak Republic,ICSID / Paris,Pierre Mayer; Emmanuel Gaillard; Brigitte Stern,Derains & Gharavi,Squire Patton Boggs
UNC334,2500000000,$2.5 billion,Gold Reserve v. Venezuela,Gold Reserve (Canada),Canada,Venezuela,"ICSID / Washington, D.C.; Paris",Piero Bernardini; David A.R. Williams; Pierre-Marie Dupuy,Abby Cohen Smutny; Darryl Lew; Hansel Pham Petr Polasek,Foley Hoag
,1140000000,$1.14 billion,Government of Malaysia v. Government of Singapore,Government of Malaysia,Malaysia,Singapore,"PCA / N/A (inter-state arbitration with no seat selected, hearing in London)",Lord Nicholas Phillips of Worth Maltravers; Bruno Simma; Murray Gleeson,Herbert Smith Freehills ; Matrix Chambers; Volterra Fietta,Debevoise & Plimpton; Essex Court Chambers
