ID,Initiation,ResolutionYear,Respondent country,Investor home country,Parties to the dispute,InvestmentType,Nature of dispute,Legal instrument,Rules,Amount sought by investor,amountAwarded,Arbitrators,Arbitrator1,Arbitrator2,Arbitrator2Claimant,Arbitrator3,Decisions rendered,Status,Links,Commentary (if any),Special features
UNC001,1987,1990,Sri Lanka,United Kingdom,Asian Agricultural Products Ltd. (AAPL) v. Sri Lanka (ICSID Case No. ARB/87/3),shrimp farming enterprise,,Sri Lanka-United Kingdom BIT,ICSID,8000000,460000,Ahmed Sadek El-Kosheri (chair); Berthold Goldman; Samuel K.B. Asante,Ahmed Sadek El-Kosheri,Berthold Goldman,,Samuel K.B. Asante,Award issued on 27 June 1990,awarded in favor of the investor,http://ita.law.uvic.ca/documents/AsianAgriculture-Award.pdf,,
UNC002,1993,1997,"Congo, Democratic (former Zaire)",USA,"American Manufacturing & Trading, Inc. v. Zaire (ICSID Case No. ARB/93/1)",manufacturing and trading enterprise,"claims arising out of two episodes of looting in which soldiers of the Zairian armed forces destroyed, damaged or carried away the property, finished goods, raw materials and other objects of value belonging to the local subsidiary of the investor",Zaire-United States BIT,ICSID,14300000,9000000,Sompong Sucharitkul (chair); Heribert Golsong; Kéba Mbaye,Sompong Sucharitkul,Heribert Golsong,,Kéba Mbaye,Award issued on 21 February 1997,awarded in favor of the investor,http://ita.law.uvic.ca/documents/AmericanManufacturing.pdf,,
UNC004,1994,,Poland,Germany,Saar Papier v. Poland I,waste paper enterprise,claim arising out of enforcement of environmental regulations,Germany-Poland BIT,UNCITRAL,,1380000,,,,,,awarded in favor of the investor,awarded in favor of the investor,,,
UNC005,1995,1998,Burundi,Belgium,Antoine Goetz and others v. Burundi (ICSID Case No. ARB/95/3),mining enterprise,,Belgium-Luxembourg Economic Union-Burundi BIT,ICSID,175000000,3000000,Prosper Weil (Chair); Mohammed Bedjaoui; Jean-Denis Bredin,Prosper Weil,Mohammed Bedjaoui,,Jean-Denis Bredin,awarded in favour of the investor,awarded in favor of the investor,http://www.worldbank.org/icsid/cases/goetz.pdf,,
UNC006,1994,1999,Albania,Greece,Tradex Hellas SA v. Albania (ICSID Case No. ARB/94/2),agricultural enterprise,,Albania-Greece BIT (Albania Investment Laws),ICSID,3107074,,Karl-Heinz Böckstiegel (Chair); Fred Fielding; Andrea Giardina,Karl-Heinz Böckstiegel,Fred Fielding,,Andrea Giardina,Decision on Jurisdiction issued on 24 December 1996;Award issued on 29 April 1999,awarded in favor of the state,http://www.worldbank.org/icsid/cases/tradex_decision.pdfhttp://www.worldbank.org/icsid/cases/tradex_award.pdf,,
UNC007,1996,,Poland,France,France Telecom v. Poland,minority shareholding in Polish cellular phone company,,France-Poland BIT,UNCITRAL,500000000,,,,,,,settled,settled,,,
UNC008,1996,,Poland,USA,Ameritech v. Poland,minority shareholding in Polish cellular phone company,,Poland-United Staes BIT,UNCITRAL,500000000,,,,,,,settled,settled,,,
UNC009,1996,1999,Kazakhstan,USA,Biederman v. Kazakhstan,oil concession,,Kazakhstan-United States BIT,SCC,,8900000,,,,,,Award issued in August 1999,awarded in favor of the investor,Not publicly available,,
UNC010,1996,,Poland,Germany,Saar Papier v. Poland II,waste paper enterprise,claim arising out of the enforcement of environmental regulation,Germany-Poland BIT,UNCITRAL,,,,,,,,unknown,unknown,,,
UNC011,1996,1998,Venezuela,Netherlands,FEDAX N.V. v. Venezuela  (ICSID Case No. ARB/96/3(1),debt instruments,,Netherlands-Venezuela BIT,ICSID,589950,598950,Francisco Orrego Vicuña (Chair); Meir Heth; Roberts B.Owen,Francisco Orrego Vicuña,Meir Heth,,Roberts B.Owen,Decision on Jurisdiction issued on 11 July 1997;Award issued on 9 March 1998,awarded in favor of the investor,http://ita.law.uvic.ca/documents/Fedax-1997-Last.pdfhttp://ita.law.uvic.ca/documents/Fedax-1998-Last.pdf,,
